Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
213,Jaylen Nowell,21,MIN,SG,42,0,18.1,3.4,8,0.424,1.2,3.6,0.333,2.2,4.4,0.497,0.499,1.1,1.3,0.818,0.5,1.8,2.3,1.5,0.5,0.3,0.7,1.7,9
214,Ivica Zubac,23,LAC,C,72,33,22.3,3.6,5.5,0.652,0,0.1,0.25,3.6,5.4,0.656,0.654,1.9,2.4,0.789,2.6,4.6,7.2,1.3,0.3,0.9,1.1,2.6,9
215,DeMarcus Cousins,30,2TM,C,41,11,17.4,3.2,7.4,0.426,1.1,3.3,0.348,2,4.1,0.488,0.503,1.4,2,0.728,1.3,5.1,6.4,1.9,0.8,0.6,1.6,2.6,8.9
215,DeMarcus Cousins,30,HOU,C,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6
215,DeMarcus Cousins,30,LAC,C,16,0,12.9,3.2,5.9,0.537,0.5,1.2,0.421,2.7,4.8,0.566,0.579,0.9,1.4,0.682,1.4,3.1,4.5,1,0.8,0.4,1.6,2.1,7.8
216,Bruce Brown,24,BRK,PG,65,37,22.3,3.6,6.5,0.556,0.3,0.9,0.288,3.4,5.6,0.599,0.576,1.3,1.8,0.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8
217,Michael Carter-Williams,29,ORL,SG,31,25,25.8,3.4,8.7,0.389,0.5,2,0.246,2.9,6.7,0.431,0.417,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8
218,Danuel House Jr.,27,HOU,SF,36,23,25.9,3.1,7.6,0.404,1.5,4.3,0.346,1.6,3.2,0.483,0.504,1.1,1.8,0.651,0.5,3.2,3.7,1.9,0.6,0.4,1,1.9,8.8
219,Jay Scrubb,20,LAC,SG,4,1,21,3.5,9,0.389,0.5,2.3,0.222,3,6.8,0.444,0.417,1.3,1.3,1,0.5,3,3.5,0.3,1,0,1.8,1.3,8.8
220,George Hill,34,2TM,PG,30,17,22.4,3.2,6.6,0.482,1,2.7,0.388,2.1,3.9,0.547,0.561,1.3,1.7,0.8,0.5,1.5,2,2.4,0.8,0.2,1,1,8.7
220,George Hill,34,OKC,PG,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
220,George Hill,34,PHI,PG,16,3,18.9,2.1,4.8,0.442,0.6,1.4,0.391,1.6,3.4,0.463,0.5,1.2,1.6,0.76,0.5,1.5,2,1.9,0.7,0.2,1.2,1.2,6
221,Terence Davis,23,2TM,SG,61,4,17.6,3.2,7.5,0.428,1.6,4.4,0.367,1.6,3.1,0.513,0.535,0.7,0.9,0.818,0.3,2.2,2.5,1.4,0.7,0.2,1,1.6,8.7
221,Terence Davis,23,TOR,SG,34,4,14.5,2.6,6.2,0.414,1.3,3.6,0.361,1.3,2.6,0.489,0.519,0.5,0.5,0.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
221,Terence Davis,23,SAC,SG,27,0,21.5,4,9.1,0.439,2,5.4,0.372,2,3.7,0.535,0.549,1.1,1.4,0.784,0.4,2.9,3.3,1.7,1,0.3,1.3,1.8,11.1
222,Raul Neto,28,WAS,PG,64,22,21.9,3.3,7,0.468,1,2.6,0.39,2.3,4.4,0.512,0.539,1.2,1.3,0.882,0.4,2,2.4,2.3,1.1,0.1,0.8,1.7,8.7
223,Isaiah Roby,22,OKC,PF,61,34,23.4,3.4,7,0.483,0.5,1.8,0.294,2.9,5.2,0.547,0.52,1.4,1.9,0.744,1.5,4.1,5.6,1.8,0.9,0.6,1.9,2.7,8.7
224,Dario Šarić,26,PHO,C,50,4,17.4,3.1,6.8,0.447,0.9,2.7,0.348,2.1,4.1,0.512,0.516,1.7,2,0.848,0.9,2.9,3.8,1.3,0.6,0.1,1.1,1.9,8.7
225,Moses Brown,21,OKC,C,43,32,21.4,3.4,6.2,0.545,0,0,,3.4,6.2,0.545,0.545,1.8,2.9,0.619,3.6,5.3,8.9,0.2,0.7,1.1,1,2.2,8.6
226,T.J. McConnell,28,IND,PG,69,3,26,4,7.1,0.559,0.2,0.7,0.313,3.8,6.4,0.586,0.574,0.5,0.7,0.688,0.8,2.9,3.7,6.6,1.9,0.3,2,1.6,8.6
227,Jakob Poeltl,25,SAS,C,69,51,26.7,3.8,6.2,0.616,0,0,,3.8,6.2,0.616,0.616,0.9,1.8,0.508,3.2,4.8,7.9,1.9,0.7,1.8,1.2,2.5,8.6
228,Ricky Rubio,30,MIN,PG,68,51,26.1,2.8,7.3,0.388,1,3.1,0.308,1.9,4.2,0.447,0.454,1.9,2.2,0.867,0.4,2.9,3.3,6.4,1.4,0.1,1.6,2,8.6
229,Svi Mykhailiuk,23,2TM,SF,66,14,20.1,3.2,7.7,0.411,1.6,4.8,0.334,1.6,2.9,0.536,0.515,0.6,0.8,0.76,0.4,2.1,2.5,1.7,0.8,0.2,1.3,1,8.5
229,Svi Mykhailiuk,23,DET,SF,36,5,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.8,1.4,0.519,0.504,0.7,0.8,0.8,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
229,Svi Mykhailiuk,23,OKC,SF,30,9,23,4.1,9.4,0.438,1.6,4.8,0.336,2.5,4.7,0.543,0.523,0.5,0.7,0.7,0.4,2.5,3,1.8,0.8,0.2,1.6,1,10.3
230,Robert Covington,30,POR,PF,70,70,32,2.9,7.3,0.401,1.9,5.1,0.379,1,2.2,0.451,0.533,0.7,0.9,0.806,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.8,8.5
231,Gabriel Deck,25,OKC,PF,10,0,21.2,3.2,6.7,0.478,0.2,1.5,0.133,3,5.2,0.577,0.493,1.8,2.2,0.818,1.6,2.4,4,2.4,0.8,0,0.6,0.9,8.4
232,James Ennis III,30,ORL,SF,41,37,24,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504,0.566,1.7,2.1,0.805,1,3,4,1.5,0.8,0.2,0.9,2,8.4
233,Cameron Payne,26,PHO,PG,60,1,18,3.2,6.6,0.484,1.2,2.8,0.44,2,3.8,0.515,0.576,0.8,0.9,0.893,0.3,2.1,2.4,3.6,0.6,0.3,1,1.6,8.4
234,Luke Kennard,24,LAC,SG,63,17,19.6,3.1,6.6,0.476,1.6,3.6,0.446,1.5,3,0.511,0.597,0.4,0.5,0.839,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4,8.3
235,Mitchell Robinson,22,NYK,C,31,29,27.5,3.7,5.7,0.653,0,0,,3.7,5.7,0.653,0.653,0.8,1.7,0.491,3.6,4.5,8.1,0.5,1.1,1.5,0.8,2.8,8.3
236,Cory Joseph,29,2TM,PG,63,13,23,3.2,6.8,0.469,0.7,2.1,0.341,2.5,4.7,0.527,0.522,1.1,1.4,0.818,0.6,2,2.5,3.4,1,0.3,1.3,2.2,8.2
236,Cory Joseph,29,SAC,PG,44,2,21.5,2.5,5.7,0.444,0.7,2.1,0.33,1.8,3.5,0.513,0.506,0.8,1.1,0.766,0.6,1.7,2.3,2.5,0.9,0.2,1,2.2,6.6
236,Cory Joseph,29,DET,PG,19,11,26.4,4.7,9.3,0.506,0.7,2,0.368,3.9,7.3,0.543,0.545,1.9,2.2,0.878,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2,12
237,Sterling Brown,25,HOU,SG,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
238,Aleksej Pokusevski,19,OKC,PF,45,28,24.2,3.1,9.1,0.341,1.3,4.6,0.28,1.8,4.5,0.403,0.412,0.7,0.9,0.738,0.7,4,4.7,2.2,0.4,0.9,2.2,1.3,8.2
239,Nicolas Batum,32,LAC,SF,67,38,27.4,2.9,6.1,0.464,1.6,4.1,0.404,1.2,2.1,0.579,0.597,0.7,0.9,0.828,0.7,4,4.7,2.2,1,0.6,0.8,1.5,8.1
240,JaMychal Green,30,DEN,PF,58,5,19.3,3,6.4,0.463,1.4,3.4,0.399,1.6,3,0.534,0.568,0.8,1,0.807,1.5,3.3,4.8,0.9,0.4,0.4,0.9,2.5,8.1
241,Hassan Whiteside,31,SAC,C,36,4,15.2,3.5,6.2,0.563,0,0,0,3.5,6.2,0.565,0.563,1.1,2.2,0.519,1.7,4.3,6,0.6,0.3,1.3,1.1,2,8.1
242,Mo Bamba,22,ORL,C,46,5,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4,0.568,0.535,1,1.4,0.682,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,8
243,Tyrese Maxey,20,PHI,SG,61,8,15.3,3.2,7,0.462,0.5,1.7,0.301,2.7,5.3,0.512,0.498,1,1.1,0.871,0.2,1.5,1.7,2,0.4,0.2,0.7,1.3,8
244,Kenrich Williams,26,OKC,PF,66,13,21.6,3.3,6.2,0.533,0.8,1.8,0.444,2.5,4.5,0.568,0.596,0.5,1,0.571,1.3,2.9,4.1,2.3,0.8,0.3,1.2,2.2,8
245,Robert Williams,23,BOS,C,52,13,18.9,3.6,5,0.721,0,0,0,3.6,4.9,0.727,0.721,0.9,1.4,0.616,2.6,4.3,6.9,1.8,0.8,1.8,1,2,8
246,Austin Rivers,28,2TM,SG,36,7,23.5,2.9,6.8,0.424,1.5,4.1,0.369,1.4,2.7,0.51,0.537,0.6,0.9,0.71,0.2,2.1,2.3,2.3,0.8,0.1,1,1.8,7.9
246,Austin Rivers,28,NYK,SG,21,2,21,2.8,6.4,0.43,1.3,3.7,0.364,1.4,2.8,0.517,0.533,0.5,0.7,0.714,0.2,2,2.2,2,0.6,0,1,1.5,7.3
246,Austin Rivers,28,DEN,SG,15,5,26.9,3.1,7.3,0.418,1.8,4.8,0.375,1.3,2.5,0.5,0.541,0.8,1.1,0.706,0.2,2.1,2.3,2.6,1.2,0.1,0.9,2.1,8.7
247,Isaiah Stewart,19,DET,C,68,14,21.4,3.3,6,0.553,0.3,0.9,0.333,3,5.1,0.592,0.578,0.9,1.4,0.696,2.3,4.3,6.7,0.9,0.6,1.3,1,2.7,7.9
248,Willy Hernangómez,26,NOP,C,47,12,18,3.2,5.7,0.563,0,0.2,0.1,3.2,5.5,0.581,0.565,1.3,2,0.667,2.5,4.6,7.1,1.1,0.5,0.5,0.7,1.4,7.8
249,Chuma Okeke,22,ORL,PF,45,19,25.2,3,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47,0.492,0.7,0.9,0.75,0.9,3.1,4,2.2,1.1,0.5,0.8,1.1,7.8
250,Anfernee Simons,21,POR,SG,64,0,17.3,2.6,6.3,0.419,1.9,4.4,0.426,0.8,1.9,0.403,0.569,0.7,0.9,0.807,0.2,2,2.2,1.4,0.3,0.1,0.7,1.5,7.8
251,D.J. Augustin,33,2TM,PG,57,12,19.8,2.4,6,0.394,1.5,3.8,0.382,0.9,2.2,0.413,0.515,1.5,1.6,0.904,0.4,1.3,1.6,3.3,0.5,0,1.1,1,7.7
251,D.J. Augustin,33,MIL,PG,37,6,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1,1.1,0.9,0.3,1.1,1.4,3,0.5,0,0.9,0.9,6.1
251,D.J. Augustin,33,HOU,PG,20,6,20.8,3.2,7.6,0.424,1.7,4.4,0.386,1.5,3.2,0.476,0.536,2.5,2.7,0.907,0.5,1.8,2.2,3.9,0.4,0,1.6,1.2,10.6
252,Ben McLemore,27,2TM,SG,53,5,17.1,2.5,6.9,0.37,1.8,5.3,0.346,0.7,1.6,0.447,0.503,0.7,1,0.736,0.3,1.6,1.9,0.7,0.4,0.2,0.8,1.7,7.7
252,Ben McLemore,27,HOU,SG,32,4,16.8,2.5,7,0.357,1.7,5.2,0.331,0.8,1.8,0.431,0.48,0.7,1,0.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4
252,Ben McLemore,27,LAL,SG,21,1,17.5,2.6,6.7,0.39,2,5.4,0.368,0.6,1.3,0.481,0.539,0.8,1,0.762,0.2,1.4,1.6,0.5,0.1,0.3,0.7,1.8,8
253,PJ Dozier,24,DEN,SG,50,6,21.8,3,7.1,0.417,0.9,3,0.315,2,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7
254,Mike James,30,BRK,PG,13,1,18.2,2.6,7.1,0.37,0.8,2.4,0.355,1.8,4.7,0.377,0.429,1.6,2.1,0.778,0.2,2.2,2.5,4.2,0.5,0.1,1.5,0.8,7.7
255,Naji Marshall,23,NOP,SF,32,10,21.9,2.6,6.5,0.392,0.9,2.6,0.349,1.7,3.9,0.421,0.462,1.7,2.3,0.707,0.5,4.2,4.6,2.8,0.8,0.3,1.2,1.8,7.7
256,Payton Pritchard,23,BOS,SG,66,4,19.2,2.8,6.3,0.44,1.5,3.8,0.411,1.2,2.6,0.482,0.562,0.6,0.7,0.889,0.5,1.9,2.4,1.8,0.6,0.1,0.8,1.6,7.7
257,Tomáš Satoranský,29,CHI,SG,58,18,22.5,2.9,5.7,0.514,0.7,2,0.356,2.2,3.6,0.602,0.578,1.2,1.4,0.848,0.5,1.9,2.4,4.7,0.7,0.2,1.7,1.5,7.7
258,Isaiah Thomas,31,NOP,PG,3,0,16,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0.7,0.7,1,0.3,1,1.3,1.7,0.3,0,2,1,7.7
259,Steven Adams,27,NOP,C,58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
260,Garrett Temple,34,CHI,SG,56,25,27.3,2.8,6.8,0.415,1.2,3.6,0.335,1.6,3.2,0.503,0.503,0.7,0.9,0.8,0.5,2.3,2.9,2.2,0.8,0.5,1,2.3,7.6
261,Tristan Thompson,29,BOS,C,54,43,23.8,3.1,6,0.518,0,0.1,0,3.1,6,0.523,0.518,1.3,2.2,0.592,3.1,5,8.1,1.2,0.4,0.6,1.1,2.2,7.6
262,Patrick Beverley,32,LAC,PG,37,34,22.5,2.5,5.9,0.423,1.5,3.8,0.397,1,2.1,0.468,0.55,1,1.2,0.8,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5
263,Henry Ellenson,24,TOR,PF,2,0,19,2.5,7,0.357,1,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2,0.75,1.5,4.5,6,2.5,0,0,0,3.5,7.5
264,Malachi Flynn,22,TOR,PG,47,14,19.7,2.7,7.2,0.374,1.1,3.6,0.321,1.6,3.7,0.424,0.453,1,1.2,0.804,0.2,2.3,2.5,2.9,0.8,0.1,0.9,1.4,7.5
265,Jaxson Hayes,20,NOP,C,60,3,16.1,2.9,4.7,0.625,0.1,0.2,0.429,2.8,4.4,0.635,0.636,1.6,2,0.775,1.5,2.8,4.3,0.6,0.4,0.6,0.7,1.7,7.5
266,DeAndre Jordan,32,BRK,C,57,43,21.9,3.3,4.4,0.763,0,0,0,3.3,4.4,0.766,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2,7.5
267,Edmond Sumner,25,IND,SG,53,24,16.2,2.8,5.3,0.525,0.7,1.7,0.398,2.1,3.7,0.582,0.587,1.3,1.6,0.819,0.3,1.4,1.8,0.9,0.6,0.2,1,1.7,7.5
268,JJ Redick,36,2TM,SG,44,0,16.4,2.4,6.1,0.397,1.5,4,0.371,0.9,2,0.449,0.521,1.1,1.2,0.942,0.1,1.4,1.5,1.2,0.3,0.1,0.8,1.1,7.4
268,JJ Redick,36,NOP,SG,31,0,18.6,2.8,6.9,0.407,1.6,4.5,0.364,1.2,2.4,0.486,0.526,1.5,1.5,0.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7
268,JJ Redick,36,DAL,SG,13,0,11.3,1.5,4.1,0.358,1.2,2.9,0.395,0.3,1.2,0.267,0.5,0.3,0.4,0.8,0.1,0.8,0.9,0.8,0.2,0.1,0.8,1,4.4
269,Jalen Harris,22,TOR,SG,13,2,13.2,2.8,5.5,0.5,1.3,2.8,0.472,1.5,2.8,0.528,0.618,0.5,0.7,0.778,0.2,1.2,1.4,1.3,0.6,0,1.1,1.2,7.4
270,Jalen McDaniels,23,CHO,SF,47,18,19.2,2.8,6,0.468,0.7,2.2,0.333,2.1,3.8,0.547,0.53,1,1.4,0.703,1,2.6,3.6,1.1,0.6,0.4,1,2,7.4
271,JaVale McGee,33,2TM,C,46,2,14.7,3.1,6.1,0.511,0.1,0.5,0.208,3,5.6,0.539,0.52,1,1.5,0.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3
271,JaVale McGee,33,CLE,C,33,1,15.2,3.4,6.5,0.521,0.2,0.6,0.25,3.2,5.9,0.549,0.533,1.1,1.7,0.655,1.6,3.5,5.2,1,0.5,1.2,1.4,2.4,8
271,JaVale McGee,33,DEN,C,13,1,13.5,2.5,5.2,0.478,0,0.3,0,2.5,4.8,0.508,0.478,0.6,0.9,0.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5
272,Louis King,21,SAC,SF,6,1,14.2,2.8,5.7,0.5,0.7,1.8,0.364,2.2,3.8,0.565,0.559,1,1,1,0.8,2.2,3,1.5,1.2,0.5,0.7,1.5,7.3
273,Khem Birch,28,2TM,C,67,22,22.8,2.8,5.7,0.497,0.2,0.8,0.25,2.6,4.9,0.537,0.514,1.4,1.9,0.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2
273,Khem Birch,28,ORL,C,48,5,19.8,2,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479,0.459,1.3,1.8,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3
273,Khem Birch,28,TOR,C,19,17,30.4,5,9,0.556,0.5,1.6,0.29,4.5,7.4,0.614,0.582,1.5,2.3,0.636,3,4.6,7.6,1.9,0.8,1.2,1.1,2.4,11.9
274,James Johnson,33,2TM,PF,51,12,20.5,2.9,6.4,0.446,0.6,2.4,0.258,2.3,4.1,0.556,0.494,0.9,1.5,0.592,0.6,2.8,3.5,1.9,0.8,0.8,1.1,2.4,7.2
274,James Johnson,33,DAL,PF,29,1,17.4,2.3,5,0.462,0.5,2.1,0.25,1.8,2.9,0.612,0.514,0.6,1,0.586,0.5,2.5,3,1.7,0.8,0.8,0.9,2,5.7
274,James Johnson,33,NOP,PF,22,11,24.5,3.6,8.3,0.434,0.7,2.7,0.267,2.9,5.5,0.516,0.478,1.3,2.1,0.596,0.8,3.3,4.1,2.2,0.8,0.9,1.3,2.8,9.2
275,Justin Jackson,25,2TM,SF,34,3,17,2.6,6.5,0.403,1.1,3.4,0.308,1.6,3.1,0.51,0.484,0.9,1.1,0.838,0.5,1.8,2.3,1.5,0.4,0.1,0.9,0.9,7.2
275,Justin Jackson,25,OKC,SF,33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
275,Justin Jackson,25,MIL,SF,1,0,33,3,9,0.333,2,6,0.333,1,3,0.333,0.444,1,2,0.5,2,4,6,1,0,0,1,1,9
276,Kent Bazemore,31,GSW,SF,67,18,19.9,2.6,5.9,0.449,1.1,2.7,0.408,1.5,3.1,0.486,0.545,0.8,1.2,0.692,0.4,3,3.4,1.6,1,0.5,1.2,2.4,7.2
277,Juancho Hernangómez,25,MIN,PF,52,6,17.3,2.5,5.8,0.435,1.1,3.2,0.327,1.4,2.5,0.573,0.527,1.2,1.9,0.619,0.9,3.1,3.9,0.7,0.4,0.1,0.5,1,7.2
278,Aaron Holiday,24,IND,PG,66,8,17.8,2.6,6.6,0.39,1,2.8,0.368,1.6,3.8,0.406,0.467,1,1.3,0.819,0.2,1.1,1.3,1.9,0.7,0.2,1,1.4,7.2
279,Tony Bradley,23,2TM,C,42,8,16.3,3.1,4.7,0.665,0,0.1,0,3.1,4.6,0.675,0.665,0.9,1.3,0.691,2,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1
279,Tony Bradley,23,PHI,C,20,8,14.4,2.6,3.8,0.68,0,0.1,0,2.6,3.7,0.689,0.68,0.4,0.6,0.636,2,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5
279,Tony Bradley,23,OKC,C,22,0,18,3.6,5.5,0.656,0,0.1,0,3.6,5.5,0.667,0.656,1.4,2,0.705,2.1,4,6.1,0.9,0.4,0.8,1.2,1.5,8.7
280,Dewayne Dedmon,31,MIA,C,16,0,13.1,2.9,4.1,0.708,0.1,0.3,0.2,2.8,3.8,0.75,0.715,1.3,1.7,0.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1
281,Maxi Kleber,29,DAL,PF,50,40,26.8,2.3,5.5,0.422,1.7,4.2,0.41,0.6,1.3,0.46,0.58,0.7,0.7,0.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1
282,Ignas Brazdeikis,22,3TM,SF,13,0,19.2,2.7,6.4,0.422,0.8,2.2,0.393,1.8,4.2,0.436,0.488,0.8,1.1,0.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7
282,Ignas Brazdeikis,22,NYK,SF,4,0,1.8,0,0.3,0,0,0,,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5
282,Ignas Brazdeikis,22,PHI,SF,1,0,8,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0
282,Ignas Brazdeikis,22,ORL,SF,8,0,29.3,4.4,9.9,0.443,1.4,3.4,0.407,3,6.5,0.462,0.513,1,1.5,0.667,1.3,3.9,5.1,2,0.5,0.4,1.4,2.8,11.1
283,Daniel Gafford,22,2TM,C,54,11,14.6,2.9,4.2,0.684,0,0,,2.9,4.2,0.684,0.684,1.3,2,0.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7
283,Daniel Gafford,22,CHI,C,31,11,12.4,1.9,2.8,0.69,0,0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
283,Daniel Gafford,22,WAS,C,23,0,17.7,4.1,6,0.681,0,0,,4.1,6,0.681,0.681,2,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1
284,Draymond Green,30,GSW,PF,63,63,31.5,2.7,6,0.447,0.5,2,0.27,2.2,4,0.535,0.492,1.1,1.4,0.795,0.9,6.2,7.1,8.9,1.7,0.8,3,3.1,7
285,Dwight Howard,35,PHI,C,69,6,17.3,2.6,4.4,0.587,0.1,0.3,0.25,2.5,4.1,0.611,0.596,1.8,3,0.576,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7
286,Terance Mann,24,LAC,SG,67,10,18.9,2.7,5.2,0.509,0.6,1.4,0.418,2.1,3.9,0.541,0.563,1.2,1.4,0.83,0.8,2.8,3.6,1.6,0.4,0.2,0.6,1.9,7
287,Royce O'Neale,27,UTA,SF,71,71,31.6,2.5,5.5,0.444,1.5,3.9,0.385,1,1.6,0.586,0.58,0.5,0.6,0.848,1.2,5.6,6.8,2.5,0.8,0.5,1.2,2.6,7
288,R.J. Hampton,19,2TM,SG,51,1,17.4,2.7,6.1,0.435,0.5,1.7,0.31,2.1,4.4,0.482,0.478,1.1,1.6,0.671,0.6,2.9,3.5,1.7,0.4,0.2,1,1.2,6.9
288,R.J. Hampton,19,DEN,SG,25,0,9.3,1,2.4,0.417,0.2,0.7,0.278,0.8,1.7,0.476,0.458,0.4,0.5,0.75,0.4,1.6,2,0.6,0.2,0.1,0.4,0.9,2.6
288,R.J. Hampton,19,ORL,SG,26,1,25.2,4.3,9.7,0.439,0.8,2.7,0.319,3.4,7.1,0.484,0.482,1.8,2.7,0.657,0.7,4.2,5,2.8,0.6,0.3,1.6,1.5,11.2
289,Moritz Wagner,23,3TM,C,45,24,16,2.3,5.1,0.454,0.7,2,0.341,1.6,3.1,0.529,0.522,1.6,1.9,0.816,0.6,2.6,3.2,1.1,0.6,0.4,1,2.4,6.9
289,Moritz Wagner,23,WAS,C,25,13,15,2.5,4.9,0.508,0.5,1.7,0.31,2,3.2,0.613,0.561,1.6,2.1,0.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1
289,Moritz Wagner,23,BOS,C,9,1,6.8,0.4,1.6,0.286,0.2,0.7,0.333,0.2,0.9,0.25,0.357,0.1,0.2,0.5,0.3,1.8,2.1,0.7,0,0.1,1,1.1,1.2
289,Moritz Wagner,23,ORL,C,11,10,26,3.5,8.5,0.409,1.5,3.9,0.372,2,4.5,0.44,0.495,2.6,3,0.879,1,3.9,4.9,1.1,0.4,0.8,1.2,3.3,11
290,Georges Niang,27,UTA,PF,72,10,16,2.5,5.6,0.437,1.7,4.1,0.425,0.7,1.6,0.469,0.59,0.3,0.3,0.957,0.4,2.1,2.4,0.8,0.3,0.1,0.7,1.6,6.9
291,Gorgui Dieng,31,2TM,C,38,1,14.5,2.2,4.3,0.521,0.8,1.8,0.429,1.4,2.4,0.591,0.613,1.5,1.8,0.866,1.1,2.6,3.7,1.3,0.7,0.4,0.8,1.5,6.8
291,Gorgui Dieng,31,MEM,C,22,1,16.9,2.5,4.9,0.519,1,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1,1.7,7.9
291,Gorgui Dieng,31,SAS,C,16,0,11.3,1.8,3.4,0.527,0.4,1.4,0.318,1.4,2.1,0.667,0.591,1.3,1.5,0.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3
292,Pat Connaughton,28,MIL,SG,69,4,22.8,2.4,5.6,0.434,1.5,3.9,0.371,1,1.7,0.583,0.565,0.4,0.6,0.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8
293,Killian Hayes,19,DET,PG,26,18,25.8,2.7,7.7,0.353,0.8,2.8,0.278,2,5,0.395,0.403,0.5,0.7,0.824,0.2,2.4,2.7,5.3,1,0.4,3.2,2.2,6.8
294,Derrick Jones Jr.,23,POR,SF,58,43,22.7,2.5,5.2,0.484,0.7,2.3,0.316,1.8,2.9,0.619,0.554,1,1.6,0.648,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2,6.8
295,Jaden McDaniels,20,MIN,PF,63,27,24,2.6,5.8,0.447,1.1,3.1,0.364,1.5,2.7,0.544,0.545,0.4,0.7,0.6,0.8,2.9,3.7,1.1,0.6,1,0.7,2.7,6.8
296,Justise Winslow,24,MEM,SF,26,1,19.5,2.8,8.1,0.352,0.4,2.1,0.185,2.5,6,0.41,0.376,0.8,1.3,0.571,0.7,3.8,4.5,1.9,0.6,0.5,1.4,1.8,6.8
297,Dennis Smith Jr.,23,2TM,PG,23,9,18.3,2.5,6.3,0.4,0.8,2.5,0.328,1.7,3.8,0.448,0.466,0.8,1.1,0.731,0.5,1.9,2.4,3.3,1,0.6,1.1,1.6,6.7
297,Dennis Smith Jr.,23,NYK,PG,3,0,9.3,0.7,3.3,0.2,0,1.3,0,0.7,2,0.333,0.2,1.7,2,0.833,0,0.7,0.7,1,1,0,0.3,1.3,3
