Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
394,Malaki Branham,21,SAS,SG,47,0,427,12,0.575,0.442,0.174,1.8,11.1,6.4,13.4,1.2,0.4,14.3,23.8,-0.1,0.2,0.1,0.007,-1.2,-1.9,-3.2,-0.1,,branhma01
395,Jordan Miller,25,LAC,SF,37,0,420,10.5,0.509,0.284,0.261,6.3,9.3,7.8,11.2,2,1.2,14.8,18.2,-0.1,0.5,0.4,0.049,-3,0.2,-2.8,-0.1,,millejo02
396,Mo Bamba,26,2TM,C,32,2,413,13.9,0.557,0.482,0.241,8.8,30.5,19.7,6,1.1,7.4,13.9,15.2,0.2,0.8,1,0.117,-2.7,1.9,-0.9,0.1,,bambamo01
396,Mo Bamba,26,LAC,C,28,2,352,14.5,0.561,0.485,0.243,8.5,29.8,19.3,6.3,1.3,7.9,14.3,16.5,0.1,0.8,0.9,0.124,-2.6,2.4,-0.2,0.2,,bambamo01
396,Mo Bamba,26,NOP,C,4,0,61,10.6,0.506,0.444,0.222,10.3,34.6,22.1,4.2,0,4.7,9.2,7.5,0.1,0,0.1,0.08,-3.4,-1.1,-4.5,0,,bambamo01
397,David Roddy,23,3TM,PF,33,3,410,11.9,0.561,0.488,0.208,3.4,19.5,11.2,11.5,1.6,2,13.9,16,0.1,0.4,0.5,0.062,-1.6,0.1,-1.5,0.1,,roddyda01
397,David Roddy,23,ATL,PF,27,3,346,11.8,0.594,0.462,0.237,3.4,19.2,11.1,11.2,1.6,2.1,16.3,14.6,0.2,0.3,0.5,0.07,-1.6,0.5,-1.2,0.1,,roddyda01
397,David Roddy,23,PHI,PF,3,0,29,19.1,0.474,0.579,0,7.5,28.5,17.6,19,3.4,0,5,30,0,0,0,0.036,3.2,-0.4,2.9,0,,roddyda01
397,David Roddy,23,HOU,PF,3,0,35,7.2,0.44,0.538,0.308,0,15.5,7.6,7.7,0,2.6,6.3,18.5,0,0,0,0.007,-5.1,-3.2,-8.3,-0.1,,roddyda01
398,Taj Gibson,39,CHO,C,37,11,409,10.8,0.515,0.021,0.211,13,18.4,15.6,7.5,1.1,4.3,19.4,13.4,0,0.4,0.4,0.043,-5.2,-0.1,-5.3,-0.3,,gibsota01
399,Ousmane Dieng,21,OKC,C,37,1,405,11.5,0.538,0.568,0.128,4.9,16.3,10.7,9.6,2,1.7,12,15.7,0.1,0.7,0.9,0.104,-2,1.1,-0.9,0.1,,diengou01
400,Jordan Walsh,20,BOS,PF,52,1,403,6.9,0.464,0.663,0.145,6.2,12.4,9.3,6,1.5,2.5,16.1,11.5,-0.2,0.5,0.4,0.044,-4.4,0.5,-3.9,-0.2,,walshjo01
401,Hunter Tyson,24,DEN,PF,51,2,400,9,0.506,0.617,0.233,7.2,13.9,10.7,6.1,1.2,1.3,9.6,15.5,0.1,0.3,0.4,0.047,-3.3,-1.5,-4.8,-0.3,,tysonhu01
402,Anthony Gill,32,WAS,PF,51,0,397,10.2,0.586,0.352,0.568,4.7,12.6,8.6,5.7,1.1,0.5,8.3,12.7,0.4,0.1,0.5,0.058,-3,-1.5,-4.5,-0.3,,gillan01
403,Devin Carter,22,SAC,PG,36,0,396,10.8,0.471,0.48,0.346,5.4,16.2,10.8,13.5,2.6,1,11,17.9,-0.1,0.4,0.4,0.043,-3.5,0.3,-3.2,-0.1,,cartede02
404,Jeff Green,38,HOU,PF,32,3,396,13.6,0.649,0.653,0.215,2.9,12.9,7.8,7,0.7,0.9,6.4,14.7,0.9,0.4,1.3,0.159,0.3,0,0.4,0.2,,greenje02
