player,season,age,team,position,games_played,games_started,minutes_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,points_per_game,per,usage_pct,true_shooting_pct,win_shares,Box_PlusMinus,value_over_replacement,delta_points_per_game,delta_rebounds_per_game,delta_assists_per_game,delta_per,delta_usage_pct,delta_true_shooting_pct,delta_Box_PlusMinus,delta_win_shares,delta_value_over_replacement,z_delta_points_per_game,z_delta_per,z_delta_usage_pct,z_delta_true_shooting_pct,z_delta_win_shares,breakout_score,breakout
Theo Maledon,2022-23,21.0,CHO,PG,44.0,7.0,19.4,2.8,3.5,0.8,0.3,6.7,11.6,17.0,0.515,0.8,-2.5,-0.1,-0.39999999999999947,0.19999999999999973,1.2999999999999998,1.0,-3.3000000000000007,0.015000000000000013,1.9000000000000004,0.5,0.5,-0.3890604711799189,0.17835979774635968,-1.3298441263295158,0.21581497669209623,0.010996435989639336,-0.26,0
Thomas Bryant,2021-22,24.0,WAS,C,27.0,9.0,16.3,4.0,0.9,0.2,0.8,7.4,16.6,18.7,0.607,1.1,-1.0,0.1,,,,,,,,,,,,,,,,0
Tidjane Salaun,2024-25,19.0,CHO,PF,60.0,10.0,20.7,4.7,1.2,0.5,0.2,5.9,7.7,15.2,0.457,0.0,-5.2,-1.0,,,,,,,,,,,,,,,,0
Tony Bradley,2020-21,23.0,2TM,C,42.0,8.0,16.3,5.7,0.9,0.4,0.7,7.1,20.7,15.8,0.678,2.7,1.3,0.6,,,,,,,,,,,,,,,,0
Tosan Evbuomwan,2024-25,23.0,BRK,SF,28.0,0.0,23.8,4.3,2.0,0.9,0.4,9.5,11.6,19.1,0.53,0.6,-3.2,-0.2,,,,,,,,,,,,,,,,0
Toumani Camara,2023-24,23.0,POR,PF,70.0,49.0,24.8,4.9,1.2,0.9,0.5,7.5,10.6,13.8,0.547,2.0,-3.1,-0.5,,,,,,,,,,,,,,,,0
Toumani Camara,2024-25,24.0,POR,PF,78.0,78.0,32.7,5.8,2.2,1.5,0.6,11.3,12.5,14.4,0.572,5.2,-0.1,1.2,3.8000000000000007,0.8999999999999995,1.0000000000000002,1.9000000000000004,0.5999999999999996,0.02499999999999991,3.0,3.2,1.7,0.9390954854831671,0.5638808872967709,0.050089757295393424,0.4480389321434677,1.4566350387704374,0.69,1
Trae Young,2020-21,22.0,ATL,PG,63.0,63.0,33.7,3.9,9.4,0.8,0.2,25.3,23.0,33.0,0.589,7.2,3.7,3.0,,,,,,,,,,,,,,,,0
Trae Young,2021-22,23.0,ATL,PG,76.0,76.0,34.9,3.7,9.7,0.9,0.1,28.4,25.4,34.4,0.603,10.0,5.2,4.8,3.099999999999998,-0.19999999999999973,0.29999999999999893,2.3999999999999986,1.3999999999999986,0.014000000000000012,1.5,2.8,1.7999999999999998,0.7177361593726519,0.7780592703803318,0.33315311803896414,0.19259258114695882,1.2424663568769856,0.65,1
Trae Young,2022-23,24.0,ATL,PG,73.0,73.0,34.8,3.0,10.2,1.1,0.1,26.2,22.0,32.6,0.573,6.7,3.3,3.4,-2.1999999999999993,-0.7000000000000002,0.5,-3.3999999999999986,-1.7999999999999972,-0.030000000000000027,-1.9000000000000004,-3.3,-1.4,-0.95827016689267,-1.7064099733889826,-0.7991003249353188,-0.8291928228390871,-2.0236060419981503,-1.26,0
Trayce Jackson-Davis,2023-24,23.0,GSW,PF,68.0,16.0,16.6,5.0,1.2,0.4,1.1,7.9,21.6,16.4,0.692,4.8,2.8,1.4,,,,,,,,,,,,,,,,0
Trayce Jackson-Davis,2024-25,24.0,GSW,C,62.0,37.0,15.6,5.0,1.7,0.4,0.6,6.6,18.5,17.1,0.587,3.4,1.2,0.8,-1.3000000000000007,0.0,0.5,-3.1000000000000014,0.7000000000000028,-0.10499999999999998,-1.5999999999999999,-1.4,-0.5999999999999999,-0.6736653190362948,-1.5779029435388467,0.08547267738834094,-2.57087248872439,-1.0063048030042554,-1.15,0
Tre Jones,2021-22,22.0,SAS,PG,69.0,11.0,16.6,2.2,3.4,0.6,0.1,6.0,15.0,15.6,0.545,2.9,-0.5,0.4,,,,,,,,,,,,,,,,0
Tre Jones,2022-23,23.0,SAS,PG,68.0,65.0,29.2,3.6,6.6,1.3,0.1,12.9,16.0,19.3,0.534,3.4,-1.0,0.5,6.9,1.4,3.1999999999999997,1.0,3.700000000000001,-0.01100000000000001,-0.5,0.5,0.09999999999999998,1.9194010725440165,0.17835979774635968,1.146960280176732,-0.38796730748147634,0.010996435989639336,0.57,0
Tre Jones,2023-24,24.0,SAS,PG,77.0,48.0,27.8,3.8,6.2,1.0,0.1,10.0,14.7,15.2,0.591,4.9,-0.4,0.9,-2.9000000000000004,0.19999999999999973,-0.39999999999999947,-1.3000000000000007,-4.100000000000001,0.05699999999999994,0.6,1.5000000000000004,0.4,-1.1796294930031845,-0.8068607644380243,-1.612907487073087,1.1911555895878647,0.5464181407232684,-0.37,0
Tre Mann,2021-22,20.0,OKC,PG,60.0,26.0,22.8,2.9,1.5,0.8,0.2,10.4,10.2,22.0,0.501,0.1,-4.4,-0.8,,,,,,,,,,,,,,,,0
Tre Mann,2022-23,21.0,OKC,PG,67.0,5.0,17.7,2.3,1.8,0.6,0.2,7.7,10.0,20.7,0.492,0.5,-3.9,-0.6,-2.7,-0.6000000000000001,0.30000000000000004,-0.1999999999999993,-1.3000000000000007,-0.009000000000000008,0.5000000000000004,0.4,0.20000000000000007,-1.1163839712573234,-0.3356683216541881,-0.6221857244705881,-0.3415225163912015,-0.04254573448372354,-0.49,0
Tre Mann,2023-24,22.0,2TM,PG,41.0,28.0,24.1,3.6,4.0,1.2,0.1,9.3,13.7,18.2,0.559,1.2,-1.3,0.2,1.6000000000000005,1.3000000000000003,2.2,3.6999999999999993,-2.5,0.06700000000000006,2.5999999999999996,0.7,0.8,0.24339474627869354,1.3349230663975924,-1.0467807655859445,1.4233795450392412,0.1180807769363651,0.41,0
Trendon Watford,2021-22,21.0,POR,SF,48.0,10.0,18.1,4.1,1.7,0.5,0.6,7.6,15.8,17.6,0.59,1.9,-1.7,0.1,,,,,,,,,,,,,,,,0
