player,season,age,team,position,games_played,games_started,minutes_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,points_per_game,per,usage_pct,true_shooting_pct,win_shares,Box_PlusMinus,value_over_replacement,delta_points_per_game,delta_rebounds_per_game,delta_assists_per_game,delta_per,delta_usage_pct,delta_true_shooting_pct,delta_Box_PlusMinus,delta_win_shares,delta_value_over_replacement,z_delta_points_per_game,z_delta_per,z_delta_usage_pct,z_delta_true_shooting_pct,z_delta_win_shares,breakout_score,breakout
A.J. Lawson,2024-25,24.0,TOR,SG,26.0,2.0,18.7,3.3,1.2,0.5,0.2,9.1,12.7,20.0,0.542,0.8,-2.5,-0.1,,,,,,,,,,,,,,,,0
AJ Griffin,2022-23,19.0,ATL,SF,72.0,12.0,19.5,2.1,1.0,0.6,0.2,8.9,12.6,17.9,0.577,2.2,-0.8,0.4,,,,,,,,,,,,,,,,0
AJ Johnson,2024-25,20.0,2TM,SG,29.0,11.0,22.0,2.0,2.6,0.4,0.1,7.6,7.1,17.4,0.48,-0.4,-8.1,-1.0,,,,,,,,,,,,,,,,0
Aaron Holiday,2020-21,24.0,IND,PG,66.0,8.0,17.8,1.3,1.9,0.7,0.2,7.2,9.2,19.5,0.503,0.2,-4.2,-0.7,,,,,,,,,,,,,,,,0
Aaron Nesmith,2020-21,21.0,BOS,SF,46.0,1.0,14.5,2.8,0.5,0.3,0.2,4.7,9.4,13.7,0.573,1.1,-3.2,-0.2,,,,,,,,,,,,,,,,0
Aaron Nesmith,2022-23,23.0,IND,SF,73.0,60.0,24.9,3.8,1.3,0.8,0.5,10.1,10.5,16.8,0.566,2.0,-3.0,-0.4,5.3999999999999995,1.0,0.8,1.0999999999999996,3.1000000000000014,-0.007000000000000006,0.20000000000000018,0.8999999999999999,-0.2,1.4450596594500569,0.22119547436307185,0.9346627596190538,-0.2950777253009267,0.22516511788309085,0.51,0
Aaron Nesmith,2023-24,24.0,IND,SF,72.0,47.0,27.7,3.8,1.5,0.9,0.7,12.2,12.8,16.0,0.631,4.1,-0.5,0.8,2.0999999999999996,0.0,0.19999999999999996,2.3000000000000007,-0.8000000000000007,0.06500000000000006,2.5,2.0999999999999996,1.2000000000000002,0.40150855064334634,0.7352235937636203,-0.4452711240058561,1.3769347539489665,0.8676711635634453,0.59,1
Aaron Wiggins,2021-22,23.0,OKC,SG,50.0,35.0,24.2,3.6,1.4,0.6,0.2,8.3,10.3,15.3,0.556,1.2,-4.3,-0.7,,,,,,,,,,,,,,,,0
Aaron Wiggins,2022-23,24.0,OKC,SG,70.0,14.0,18.5,3.0,1.1,0.6,0.2,6.8,12.2,14.5,0.607,2.6,-2.1,0.0,-1.5000000000000009,-0.6000000000000001,-0.2999999999999998,1.8999999999999986,-0.8000000000000007,0.050999999999999934,2.1999999999999997,1.4000000000000001,0.7,-0.7369108407821562,0.5638808872967701,-0.4452711240058561,1.0518212163170402,0.49287597024990537,0.19,0
Adem Bona,2024-25,21.0,PHI,C,58.0,11.0,15.6,4.2,0.5,0.4,1.2,5.8,16.5,14.3,0.714,2.3,-2.7,-0.2,,,,,,,,,,,,,,,,0
Admiral Schofield,2021-22,24.0,ORL,SF,38.0,1.0,12.3,2.3,0.7,0.1,0.1,3.8,7.5,14.5,0.538,0.3,-5.4,-0.4,,,,,,,,,,,,,,,,0
Ajay Mitchell,2024-25,22.0,OKC,SG,36.0,1.0,16.6,1.9,1.8,0.7,0.1,6.5,12.0,16.2,0.587,1.5,-1.6,0.1,,,,,,,,,,,,,,,,0
Aleksej Pokusevski,2020-21,19.0,OKC,PF,45.0,28.0,24.2,4.7,2.2,0.4,0.9,8.2,6.1,20.5,0.43,-1.9,-6.1,-1.1,,,,,,,,,,,,,,,,0
Aleksej Pokusevski,2021-22,20.0,OKC,PF,61.0,12.0,20.2,5.2,2.1,0.6,0.6,7.6,12.0,20.0,0.485,0.4,-2.6,-0.2,-0.5999999999999996,0.5,-0.10000000000000009,5.9,-0.5,0.05499999999999999,3.4999999999999996,2.3,0.9000000000000001,-0.45230599292578016,2.2773079519652644,-0.3391223637270167,1.144710798497591,0.9747555045101712,0.72,1
Aleksej Pokusevski,2022-23,21.0,OKC,PF,34.0,25.0,20.6,4.7,1.9,0.6,1.3,8.1,13.4,18.3,0.522,1.0,0.0,0.3,0.5,-0.5,-0.20000000000000018,1.4000000000000004,-1.6999999999999993,0.03700000000000003,2.6,0.6,0.5,-0.10445562332354344,0.3497025042132092,-0.7637174048423732,0.7267076786851191,0.06453860646300222,0.05,0
Aleksej Pokusevski,2023-24,22.0,2TM,PF,28.0,0.0,14.5,3.2,1.3,0.5,0.5,5.2,12.7,17.2,0.525,0.4,-1.9,0.0,-2.8999999999999995,-1.5,-0.5999999999999999,-0.7000000000000011,-1.1000000000000014,0.0030000000000000027,-1.9,-0.6,-0.3,-1.1796294930031843,-0.5498467047377505,-0.5514198842846956,-0.06285376984955267,-0.5779674392173525,-0.58,0
Alex Sarr,2024-25,19.0,WAS,C,67.0,67.0,27.1,6.5,2.4,0.7,1.5,13.0,12.9,23.5,0.482,-0.3,-3.3,-0.6,,,,,,,,,,,,,,,,0
Alperen Sengun,2021-22,19.0,HOU,C,72.0,13.0,20.7,5.5,2.6,0.8,0.9,9.6,16.0,22.0,0.552,2.1,-1.0,0.4,,,,,,,,,,,,,,,,0
Alperen Sengun,2022-23,20.0,HOU,C,75.0,72.0,28.9,9.0,3.9,0.9,0.9,14.8,19.7,21.4,0.599,5.2,1.4,1.9,5.200000000000001,3.5,1.2999999999999998,3.6999999999999993,-0.6000000000000014,0.04699999999999993,2.4,3.1,1.5,1.3818141377041961,1.3349230663975924,-0.3745052838199636,0.9589316341364905,1.4030928682970745,0.94,1
Alperen Sengun,2023-24,21.0,HOU,C,63.0,63.0,32.5,9.3,5.0,1.2,0.7,21.1,22.0,27.0,0.585,6.9,4.9,3.5,6.300000000000001,0.3000000000000007,1.1,2.3000000000000007,5.600000000000001,-0.014000000000000012,3.5000000000000004,1.7000000000000002,1.6,1.7296645073064327,0.7352235937636203,1.8192357619427135,-0.45763449411688856,0.6535024816699941,0.9,1
Alperen Sengun,2024-25,22.0,HOU,C,76.0,76.0,31.5,10.3,4.9,1.1,0.8,19.1,21.4,26.2,0.545,8.3,4.4,3.9,-2.0,1.0,-0.09999999999999964,-0.6000000000000014,-0.8000000000000007,-0.039999999999999925,-0.5,1.4000000000000004,0.3999999999999999,-0.8950246451468089,-0.5070110281210384,-0.4452711240058561,-1.0614167782904587,0.49287597024990554,-0.48,0
Amen Thompson,2023-24,21.0,HOU,SF,62.0,23.0,22.4,6.6,2.6,1.3,0.6,9.5,18.2,18.5,0.576,4.3,1.8,1.3,,,,,,,,,,,,,,,,0
Amen Thompson,2024-25,22.0,HOU,SF,69.0,42.0,32.2,8.2,3.8,1.4,1.3,14.1,18.7,17.5,0.602,8.0,4.1,3.4,4.6,1.5999999999999996,1.1999999999999997,0.5,-1.0,0.026000000000000023,2.3,3.7,2.0999999999999996,1.1920775724666117,-0.03581858533720201,-0.5160369641917486,0.4712613276886077,1.7243458911372518,0.57,0
Amir Coffey,2021-22,24.0,LAC,SG,69.0,30.0,22.7,2.9,1.8,0.6,0.2,9.0,13.0,15.8,0.598,3.8,-0.3,0.7,,,,,,,,,,,,,,,,0
Andre Jackson Jr.,2024-25,23.0,MIL,SG,67.0,43.0,14.6,2.7,1.2,0.5,0.2,3.4,8.6,11.9,0.554,1.2,-3.4,-0.3,,,,,,,,,,,,,,,,0
Andrew Nembhard,2022-23,23.0,IND,SG,75.0,63.0,27.6,2.7,4.5,0.9,0.2,9.5,10.0,16.1,0.528,1.2,-3.2,-0.6,,,,,,,,,,,,,,,,0
Andrew Nembhard,2023-24,24.0,IND,PG,68.0,47.0,25.0,2.1,4.1,0.9,0.1,9.2,11.3,16.0,0.573,2.0,-2.2,-0.1,-0.3000000000000007,-0.6000000000000001,-0.40000000000000036,1.3000000000000007,-0.10000000000000142,0.04499999999999993,1.0,0.8,0.5,-0.3574377103069887,0.30686682759649697,-0.19759068335523167,0.9124868430462157,0.17162294740972803,0.17,0
Anfernee Simons,2020-21,21.0,POR,SG,64.0,0.0,17.3,2.2,1.4,0.3,0.1,7.8,12.3,18.3,0.589,1.8,-1.0,0.3,,,,,,,,,,,,,,,,0
Anfernee Simons,2021-22,22.0,POR,SG,57.0,30.0,29.5,2.6,3.9,0.5,0.1,17.3,15.3,24.8,0.583,1.9,-0.7,0.5,9.5,0.3999999999999999,2.5,3.0,6.5,-0.006000000000000005,0.30000000000000004,0.09999999999999987,0.2,2.7415928552402122,1.0350733300806065,2.1376820427792307,-0.2718553297557893,-0.20317224590381228,1.09,1
Anfernee Simons,2022-23,23.0,POR,SG,62.0,62.0,35.0,2.6,4.1,0.7,0.2,21.1,14.8,25.1,0.581,2.5,-1.1,0.5,3.8000000000000007,0.0,0.19999999999999973,-0.5,0.3000000000000007,-0.0020000000000000018,-0.40000000000000013,0.6000000000000001,0.0,0.9390954854831671,-0.4641753515043254,-0.056059002983445363,-0.1789657475752397,0.06453860646300227,0.06,0
Anfernee Simons,2023-24,24.0,POR,SG,46.0,46.0,34.4,3.6,5.5,0.5,0.1,22.6,15.9,28.0,0.568,2.2,0.2,0.8,1.5,1.0,1.4000000000000004,1.0999999999999996,2.8999999999999986,-0.013000000000000012,1.3,-0.2999999999999998,0.30000000000000004,0.21177198540576275,0.22119547436307185,0.8638969194331599,-0.4344120985717511,-0.41734092779726367,0.09,0
Anthony Black,2023-24,20.0,ORL,PG,69.0,33.0,16.9,2.0,1.3,0.5,0.3,4.6,8.4,12.7,0.56,1.6,-3.0,-0.3,,,,,,,,,,,,,,,,0
Anthony Black,2024-25,21.0,ORL,PG,78.0,10.0,24.2,2.9,3.1,1.1,0.6,9.4,11.6,19.6,0.521,2.4,-1.9,0.0,4.800000000000001,0.8999999999999999,1.8,3.1999999999999993,6.900000000000002,-0.039000000000000035,1.1,0.7999999999999998,0.3,1.2553230942124733,1.1207446833140309,2.279213723151017,-1.0381943827453237,0.17162294740972792,0.76,1
Anthony Edwards,2020-21,19.0,MIN,SG,72.0,55.0,32.1,4.7,2.9,1.1,0.5,19.3,13.9,27.0,0.523,0.8,-2.1,-0.1,,,,,,,,,,,,,,,,0
Anthony Edwards,2021-22,20.0,MIN,SG,72.0,72.0,34.3,4.8,3.8,1.5,0.6,21.3,16.5,26.4,0.56,4.3,1.2,2.0,2.0,0.09999999999999964,0.8999999999999999,2.5999999999999996,-0.6000000000000014,0.03700000000000003,3.3,3.5,2.1,0.3698857897704158,0.863730623613757,-0.3745052838199636,0.7267076786851191,1.6172615501905259,0.64,1
Anthony Edwards,2022-23,21.0,MIN,SG,79.0,79.0,36.0,5.8,4.4,1.6,0.7,24.6,17.4,29.9,0.564,3.8,1.0,2.1,3.3000000000000007,1.0,0.6000000000000005,0.8999999999999986,3.5,0.0039999999999998925,-0.19999999999999996,-0.5,0.10000000000000009,0.7809816811185141,0.13552412112964674,1.0761944399908387,-0.039631374304417835,-0.5244252687439895,0.29,0
Anthony Edwards,2023-24,22.0,MIN,SG,79.0,78.0,35.1,5.4,5.1,1.3,0.5,25.9,19.7,32.3,0.575,7.5,3.3,3.7,1.2999999999999972,-0.39999999999999947,0.6999999999999993,2.3000000000000007,2.3999999999999986,0.01100000000000001,2.3,3.7,1.6,0.1485264636599006,0.7352235937636203,0.686982318968428,0.12292539451154659,1.7243458911372518,0.68,1
Anthony Edwards,2024-25,23.0,MIN,SG,79.0,79.0,36.3,5.7,4.5,1.2,0.6,27.6,20.1,31.4,0.595,8.4,4.3,4.6,1.7000000000000028,0.2999999999999998,-0.5999999999999996,0.40000000000000213,-0.8999999999999986,0.020000000000000018,1.0,0.9000000000000004,0.8999999999999995,0.2750175071516249,-0.07865426195391344,-0.48065404409880175,0.33192695441778325,0.22516511788309107,0.05,0
Anthony Lamb,2020-21,23.0,HOU,SF,24.0,3.0,17.3,2.9,1.0,0.3,0.2,5.5,8.7,15.0,0.523,0.2,-6.1,-0.4,,,,,,,,,,,,,,,,0
Antonio Reeves,2024-25,24.0,NOP,SG,44.0,6.0,15.0,1.4,0.9,0.5,0.1,6.9,11.7,18.8,0.579,0.4,-3.2,-0.2,,,,,,,,,,,,,,,,0
Armoni Brooks,2020-21,22.0,HOU,SG,20.0,5.0,26.0,3.4,1.5,0.6,0.3,11.2,10.4,17.9,0.565,0.3,-3.2,-0.2,,,,,,,,,,,,,,,,0
Armoni Brooks,2021-22,23.0,2TM,SG,54.0,11.0,15.6,1.9,1.1,0.5,0.2,5.3,8.4,16.4,0.483,0.2,-3.9,-0.4,-5.8999999999999995,-1.5,-0.3999999999999999,-2.0,-1.5,-0.08199999999999996,-0.6999999999999997,-0.09999999999999998,-0.2,-2.1283123191911026,-1.1067105007550104,-0.6929515646564806,-2.0367573911862293,-0.310256586850538,-1.25,0
Ausar Thompson,2023-24,21.0,DET,SF,63.0,38.0,25.1,6.4,1.9,1.1,0.9,8.8,12.8,16.6,0.522,1.8,-2.2,-0.1,,,,,,,,,,,,,,,,0
Ausar Thompson,2024-25,22.0,DET,SF,59.0,48.0,22.5,5.1,2.3,1.7,0.7,10.1,17.2,19.1,0.568,3.8,1.7,1.2,1.299999999999999,-1.3000000000000007,0.3999999999999999,4.399999999999999,2.5,0.04599999999999993,3.9000000000000004,1.9999999999999998,1.3,0.1485264636599012,1.6347728027145785,0.722365239061375,0.9357092385913531,0.8141289930900826,0.85,1
Austin Reaves,2021-22,23.0,LAL,SG,61.0,19.0,23.2,3.2,1.8,0.5,0.3,7.3,11.5,12.4,0.6,2.9,-1.9,0.0,,,,,,,,,,,,,,,,0
Austin Reaves,2022-23,24.0,LAL,SG,64.0,22.0,28.8,3.0,3.4,0.5,0.3,13.0,14.9,16.2,0.687,5.4,0.7,1.2,5.7,-0.20000000000000018,1.5999999999999999,3.4000000000000004,3.799999999999999,0.08700000000000008,2.5999999999999996,2.5000000000000004,1.2,1.539927942068849,1.2064160365474559,1.1823432002696777,1.8878274559419894,1.0818398454568974,1.38,1
Ayo Dosunmu,2021-22,22.0,CHI,SG,77.0,40.0,27.4,2.8,3.3,0.8,0.4,8.8,11.2,14.1,0.596,3.0,-2.0,0.0,,,,,,,,,,,,,,,,0
Ayo Dosunmu,2022-23,23.0,CHI,SG,80.0,51.0,26.2,2.8,2.6,0.8,0.3,8.6,10.2,14.9,0.567,2.9,-2.5,-0.2,-0.20000000000000107,0.0,-0.6999999999999997,-1.0,0.8000000000000007,-0.029000000000000026,-0.5,-0.10000000000000009,-0.2,-0.32581494943405814,-0.6783537345878871,0.12085559748128658,-0.8059704272939497,-0.31025658685053803,-0.4,0
Ayo Dosunmu,2023-24,24.0,CHI,SG,76.0,37.0,29.1,2.8,3.2,0.9,0.5,12.2,13.4,17.2,0.604,4.1,-0.8,0.7,3.5999999999999996,0.0,0.6000000000000001,3.200000000000001,2.299999999999999,0.03700000000000003,1.7,1.1999999999999997,0.8999999999999999,0.8758499637373056,1.1207446833140315,0.6515993988754818,0.7267076786851191,0.3857916293031794,0.75,1
Bam Adebayo,2020-21,23.0,MIA,C,64.0,64.0,33.5,9.0,5.4,1.2,1.0,18.7,22.7,23.7,0.626,8.8,4.9,3.7,,,,,,,,,,,,,,,,0
Bam Adebayo,2021-22,24.0,MIA,C,56.0,56.0,32.6,10.1,3.4,1.4,0.8,19.1,21.8,25.0,0.608,7.2,3.8,2.7,0.40000000000000213,1.0999999999999996,-2.0000000000000004,-0.8999999999999986,1.3000000000000007,-0.018000000000000016,-1.1000000000000005,-1.6000000000000005,-1.0,-0.1360783841964734,-0.6355180579711741,0.2977701979460185,-0.5505240762974382,-1.1133891439509815,-0.43,0
Baylor Scheierman,2024-25,24.0,BOS,SG,31.0,2.0,12.4,2.1,1.1,0.5,0.1,3.6,10.3,14.5,0.49,0.7,-1.7,0.0,,,,,,,,,,,,,,,,0
Ben Sheppard,2023-24,22.0,IND,SG,57.0,1.0,14.3,1.6,0.9,0.6,0.0,4.4,8.1,13.2,0.524,0.8,-3.4,-0.3,,,,,,,,,,,,,,,,0
Ben Sheppard,2024-25,23.0,IND,SG,63.0,9.0,19.5,2.8,1.3,0.6,0.2,5.3,9.2,11.3,0.555,2.1,-2.0,0.0,0.8999999999999995,1.1999999999999997,0.4,1.0999999999999996,-1.8999999999999986,0.031000000000000028,1.4,1.3,0.3,0.022035420168178867,0.22119547436307185,-0.8344832450282657,0.5873733054142947,0.43933379977654247,0.09,0
Ben Simmons,2020-21,24.0,PHI,PG,58.0,58.0,32.4,7.2,6.9,1.6,0.6,14.3,18.3,20.2,0.584,6.0,2.9,2.3,,,,,,,,,,,,,,,,0
Bennedict Mathurin,2022-23,20.0,IND,SG,78.0,17.0,28.5,4.1,1.5,0.6,0.2,16.7,13.1,24.6,0.566,1.8,-3.7,-1.0,,,,,,,,,,,,,,,,0
Bennedict Mathurin,2023-24,21.0,IND,SF,59.0,19.0,26.1,4.0,2.0,0.6,0.2,14.5,13.0,23.4,0.562,1.4,-3.4,-0.6,-2.1999999999999993,-0.09999999999999964,0.5,-0.09999999999999964,-1.2000000000000028,-0.0039999999999998925,0.30000000000000027,-0.40000000000000013,0.4,-0.95827016689267,-0.2928326450374759,-0.5868028043776424,-0.22541053866551192,-0.47088309827062674,-0.51,0
Bennedict Mathurin,2024-25,22.0,IND,SF,72.0,49.0,29.8,5.3,1.9,0.7,0.3,16.1,13.6,22.8,0.579,3.0,-2.9,-0.5,1.6000000000000014,1.2999999999999998,-0.10000000000000009,0.5999999999999996,-0.5999999999999979,0.016999999999999904,0.5,1.6,0.09999999999999998,0.2433947462786938,0.007017091279510174,-0.37450528381996234,0.2622597677823685,0.5999603111966312,0.15,0
Bilal Coulibaly,2023-24,19.0,WAS,SF,63.0,15.0,27.2,4.1,1.7,0.9,0.8,8.4,8.9,14.2,0.543,0.4,-4.2,-0.9,,,,,,,,,,,,,,,,0
Bilal Coulibaly,2024-25,20.0,WAS,SF,59.0,59.0,33.0,5.0,3.4,1.3,0.7,12.3,10.8,17.9,0.515,0.3,-3.7,-0.8,3.9000000000000004,0.9000000000000004,1.7,1.9000000000000004,3.6999999999999993,-0.028000000000000025,0.5,-0.10000000000000003,0.09999999999999998,0.9707182463560977,0.5638808872967709,1.1469602801767314,-0.7827480317488122,-0.31025658685053803,0.32,0
Blake Wesley,2022-23,19.0,SAS,SG,37.0,1.0,18.1,2.2,2.6,0.7,0.1,5.0,3.5,18.5,0.393,-1.6,-9.6,-1.3,,,,,,,,,,,,,,,,0
Blake Wesley,2023-24,20.0,SAS,SG,61.0,3.0,14.4,1.5,2.7,0.5,0.1,4.4,10.1,14.7,0.537,0.9,-4.0,-0.4,-0.5999999999999996,-0.7000000000000002,0.10000000000000009,6.6,-3.8000000000000007,0.14400000000000002,5.6,2.5,0.9,-0.45230599292578016,2.5771576882822504,-1.5067587267942477,3.2115040020148187,1.0818398454568972,0.98,1
Bol Bol,2022-23,23.0,ORL,PF,70.0,33.0,21.5,5.8,1.0,0.4,1.2,9.1,14.4,18.2,0.603,2.3,-0.9,0.4,,,,,,,,,,,,,,,,0
Bones Hyland,2021-22,21.0,DEN,SG,69.0,4.0,19.0,2.7,2.8,0.6,0.3,10.1,14.4,23.8,0.558,2.4,-0.4,0.5,,,,,,,,,,,,,,,,0
Bones Hyland,2022-23,22.0,2TM,PG,56.0,1.0,19.4,2.4,3.1,0.7,0.3,11.8,14.9,28.0,0.535,1.4,-0.8,0.3,1.700000000000001,-0.30000000000000027,0.30000000000000027,0.5,4.199999999999999,-0.02300000000000002,-0.4,-1.0,-0.2,0.2750175071516243,-0.03581858533720201,1.3238748806414633,-0.6666360540231252,-0.792136121110804,0.02,0
Bones Hyland,2023-24,23.0,LAC,PG,37.0,5.0,14.6,1.5,2.5,0.7,0.1,6.9,10.8,24.8,0.49,0.0,-3.6,-0.2,-4.9,-0.8999999999999999,-0.6000000000000001,-4.1,-3.1999999999999993,-0.04500000000000004,-2.8,-1.4,-0.5,-1.8120847104617968,-2.0062597097059696,-1.294461206236569,-1.1775287560161483,-1.0063048030042554,-1.46,0
Brandin Podziemski,2023-24,20.0,GSW,SG,74.0,28.0,26.6,5.8,3.7,0.8,0.2,9.2,13.0,15.4,0.54,4.1,-0.1,0.9,,,,,,,,,,,,,,,,0
Brandin Podziemski,2024-25,21.0,GSW,SG,64.0,33.0,26.8,5.1,3.4,1.1,0.2,11.7,14.4,18.3,0.557,4.2,0.7,1.2,2.5,-0.7000000000000002,-0.30000000000000027,1.4000000000000004,2.9000000000000004,0.017000000000000015,0.7999999999999999,0.10000000000000053,0.29999999999999993,0.5279995941350689,0.3497025042132092,0.8638969194331606,0.26225976778237103,-0.20317224590381192,0.36,0
Brandon Boston Jr.,2021-22,20.0,LAC,SG,51.0,0.0,14.9,2.2,1.0,0.5,0.3,6.7,11.2,22.4,0.481,0.4,-3.3,-0.3,,,,,,,,,,,,,,,,0
Brandon Boston Jr.,2024-25,23.0,NOP,SG,42.0,10.0,23.6,3.2,2.2,1.3,0.2,10.7,12.7,20.0,0.535,0.7,-2.5,-0.1,3.999999999999999,1.0,1.2000000000000002,1.5,-2.3999999999999986,0.05400000000000005,0.7999999999999998,0.29999999999999993,0.19999999999999998,1.002341007229028,0.39253818082992137,-1.0113978454929975,1.121488402952455,-0.09608790495708648,0.28,0
Brandon Clarke,2020-21,24.0,MEM,PF,59.0,16.0,24.0,5.6,1.6,1.0,0.9,10.3,17.3,17.2,0.56,4.2,1.5,1.3,,,,,,,,,,,,,,,,0
Brandon Ingram,2020-21,23.0,NOP,SF,61.0,61.0,34.3,4.9,4.9,0.7,0.6,23.8,19.2,28.0,0.584,5.3,2.2,2.2,,,,,,,,,,,,,,,,0
Brandon Ingram,2021-22,24.0,NOP,SF,55.0,55.0,34.0,5.8,5.6,0.6,0.5,22.7,18.7,29.3,0.554,3.9,2.0,1.9,-1.1000000000000014,0.8999999999999995,0.6999999999999993,-0.5,1.3000000000000007,-0.029999999999999916,-0.20000000000000018,-1.4,-0.30000000000000027,-0.6104197972904338,-0.4641753515043254,0.2977701979460185,-0.8291928228390846,-1.0063048030042554,-0.52,0
Brandon Miller,2023-24,21.0,CHO,SF,74.0,68.0,32.2,4.3,2.4,0.9,0.6,17.3,13.0,23.9,0.552,0.8,-2.6,-0.3,,,,,,,,,,,,,,,,0
Brandon Miller,2024-25,22.0,CHO,SF,27.0,27.0,34.2,4.9,3.6,1.1,0.7,21.0,14.0,27.7,0.54,0.4,0.0,0.4,3.6999999999999993,0.6000000000000005,1.2000000000000002,1.0,3.8000000000000007,-0.01200000000000001,2.6,-0.4,0.7,0.9074727246102361,0.17835979774635968,1.1823432002696783,-0.41118970302661373,-0.4708830982706267,0.28,0
Brandon Williams,2021-22,22.0,POR,PG,24.0,16.0,26.7,3.1,3.9,1.0,0.4,12.9,11.0,25.9,0.476,-0.5,-5.7,-0.6,,,,,,,,,,,,,,,,0
Brice Sensabaugh,2023-24,20.0,UTA,SF,32.0,11.0,18.3,3.2,1.7,0.4,0.2,7.5,8.6,20.3,0.511,-0.3,-5.5,-0.5,,,,,,,,,,,,,,,,0
Brice Sensabaugh,2024-25,21.0,UTA,SF,71.0,15.0,20.2,3.0,1.5,0.6,0.1,10.9,13.4,21.5,0.612,1.2,-1.2,0.3,3.4000000000000004,-0.20000000000000018,-0.19999999999999996,4.800000000000001,1.1999999999999993,0.10099999999999998,4.3,1.5,0.8,0.8126044419914445,1.8061155091814287,0.26238727785307164,2.212940993573911,0.5464181407232682,1.13,1
Brodric Thomas,2020-21,24.0,2TM,SG,32.0,1.0,12.5,1.7,0.9,0.5,0.3,3.9,8.0,16.4,0.487,0.1,-4.4,-0.2,,,,,,,,,,,,,,,,0
Bruce Brown,2020-21,24.0,BRK,PG,65.0,37.0,22.3,5.4,1.6,0.9,0.4,8.8,16.1,15.9,0.604,4.4,-0.1,0.7,,,,,,,,,,,,,,,,0
Bryce McGowens,2022-23,20.0,CHO,SG,46.0,7.0,17.1,2.0,1.2,0.3,0.1,5.3,7.2,15.0,0.519,0.1,-6.0,-0.8,,,,,,,,,,,,,,,,0
Bryce McGowens,2023-24,21.0,CHO,SG,59.0,14.0,14.9,1.7,0.9,0.4,0.2,5.1,9.3,14.9,0.565,0.6,-4.9,-0.6,-0.20000000000000018,-0.30000000000000004,-0.29999999999999993,2.1000000000000005,-0.09999999999999964,0.04599999999999993,1.0999999999999996,0.5,0.20000000000000007,-0.32581494943405787,0.6495522405301957,-0.19759068335523103,0.9357092385913531,0.010996435989639336,0.21,0
Bub Carrington,2024-25,19.0,WAS,PG,82.0,57.0,30.0,4.2,4.4,0.7,0.3,9.8,9.0,15.8,0.514,0.2,-4.6,-1.6,,,,,,,,,,,,,,,,0
CJ Elleby,2021-22,21.0,POR,SF,58.0,28.0,20.2,3.9,1.5,0.6,0.3,5.8,9.2,14.8,0.491,0.4,-5.3,-1.0,,,,,,,,,,,,,,,,0
Cade Cunningham,2021-22,20.0,DET,SG,64.0,64.0,32.6,5.5,5.6,1.2,0.7,17.4,13.1,27.5,0.504,-0.5,-1.6,0.2,,,,,,,,,,,,,,,,0
Cade Cunningham,2023-24,22.0,DET,PG,62.0,62.0,33.5,4.3,7.5,0.9,0.4,22.7,17.1,30.8,0.546,1.8,0.3,1.2,5.300000000000001,-1.2000000000000002,1.9000000000000004,4.000000000000002,3.3000000000000007,0.04200000000000004,1.9000000000000001,2.3,1.0,1.4134368985771266,1.4634300962477305,1.0054285998049464,0.8428196564108061,0.9747555045101712,1.14,1
Cade Cunningham,2024-25,23.0,DET,PG,70.0,70.0,35.0,6.1,9.1,1.0,0.8,26.1,20.6,33.2,0.565,5.9,3.9,3.7,3.400000000000002,1.7999999999999998,1.5999999999999996,3.5,2.400000000000002,0.018999999999999906,3.6,4.1000000000000005,2.5,0.8126044419914451,1.249251713164168,0.6869823189684293,0.30870455887264325,1.9385145730307036,1.0,1
Caleb Houstan,2022-23,20.0,ORL,SF,51.0,4.0,15.9,1.9,0.6,0.2,0.1,3.8,6.2,11.0,0.508,0.7,-4.0,-0.4,,,,,,,,,,,,,,,,0
Caleb Houstan,2023-24,21.0,ORL,SF,59.0,13.0,13.8,1.4,0.5,0.3,0.1,4.3,8.3,12.5,0.582,1.5,-1.9,0.0,0.5,-0.5,-0.09999999999999998,2.1000000000000005,1.5,0.07399999999999995,2.1,0.8,0.4,-0.10445562332354344,0.6495522405301957,0.36853603813191105,1.5859363138552007,0.17162294740972803,0.53,0
Caleb Houstan,2024-25,22.0,ORL,SF,58.0,6.0,13.6,1.3,0.6,0.4,0.1,4.1,9.4,11.7,0.605,1.8,-2.2,0.0,-0.20000000000000018,-0.09999999999999987,0.09999999999999998,1.0999999999999996,-0.8000000000000007,0.02300000000000002,-0.30000000000000027,0.30000000000000004,0.0,-0.32581494943405787,0.22119547436307185,-0.4452711240058561,0.40159414105319546,-0.09608790495708641,-0.05,0
Cam Reddish,2020-21,21.0,ATL,SF,26.0,21.0,28.8,4.0,1.3,1.3,0.3,11.2,9.3,19.3,0.488,0.4,-3.2,-0.2,,,,,,,,,,,,,,,,0
Cam Reddish,2021-22,22.0,2TM,SF,49.0,7.0,20.7,2.1,1.0,1.0,0.3,10.1,12.8,22.2,0.543,1.0,-1.3,0.2,-1.0999999999999996,-1.9,-0.30000000000000004,3.5,2.8999999999999986,0.05500000000000005,1.9000000000000001,0.6,0.4,-0.6104197972904333,1.249251713164168,0.8638969194331599,1.1447107984975924,0.06453860646300222,0.54,0
